Season,Division,P,W,D,L,F,A,Pts,Pos,Copa delRey[13],Competition,Result,Competition,Result,Name(s),Goals
Season,League[9][14],League[9][14],League[9][14],League[9][14],League[9][14],League[9][14],League[9][14],League[9][14],League[9][14],Copa delRey[13],Europe[15][16][17][18],Europe[15][16][17][18],Other[19][20][21][22][23][24],Other[19][20][21][22][23][24],La Liga top scorer[n 1],La Liga top scorer[n 1]
1902,—,—,—,—,—,—,—,—,—,SF,—,—,Concurso de Consolación[n 2],W*,—,—
1932–33,La LigaCamp. Reg.[n 17],1810,139,20,31,4938,177,2818,1st*W*,RU,—,—,—,—,Olivares,15
1933–34,La LigaCamp. Reg.,1810,107,22,61,4135,2911,2216,2ndW*,W*,—,—,—,—,Regueiro,12
1934–35,La LigaCamp. Reg.[n 18],2212,1610,10,52,6141,3413,3320,2ndW*,R16,—,—,—,—,Sañudo,20
1935–36,La LigaCamp. Reg.,2210,136,33,61,6223,358,2915,2ndW*,W*,—,—,—,—,Sañudo,20
1936–39,No competitive football was played between 1936 and 1939 due to the Spanish Civil War.,,,,,,,,,,,,,,
1939–40,La Liga[n 19]Camp. Reg.[n 20],1810,117,11,62,4021,2712,2315,4th2nd,RU,—,—,—,—,Alday,13
1940–41,La Liga,22,11,2,9,51,38,24,6th,R16,—,—,—,—,Alday,14
1941–42,La Liga[n 21],26,14,5,7,65,43,33,2nd,QF,—,—,—,—,Alday,23
1942–43,La Liga,26,10,5,11,52,50,25,10th,RU,—,—,—,—,Alday,16
1943–44,La Liga,26,11,6,9,48,38,28,7th,R16,—,—,—,—,Barinaga,20
1944–45,La Liga,26,18,2,6,68,35,38,2nd,R16,—,—,—,—,Barinaga,18
1945–46,La Liga,26,11,9,6,46,30,31,4th,W*,—,—,—,—,Pruden,20
1946–47,La Liga,26,11,5,10,62,56,27,7th,W*,—,—,—,—,Pruden,22
1947–48,La Liga,26,7,7,12,41,56,21,11th,R16,—,—,Copa Eva Duarte,W*,Molowny,9
1948–49,La Liga,26,15,4,7,67,42,34,3rd,R16,—,—,—,—,Pahiño,21
1949–50,La Liga,26,11,9,6,60,49,31,4th,SF,—,—,—,—,Pahiño,19
1950–51,La Liga,30,13,5,12,80,71,31,9th,SF,—,—,—,—,Pahiño,21
1951–52,La Liga,30,16,6,8,79,50,38,3rd,SF,—,—,—,—,Pahiño,28
1952–53,La Liga,30,18,3,9,67,49,39,3rd,SF,—,—,—,—,Pahiño,19
1953–54,La Liga,30,17,6,7,72,41,40,1st*,SF,—,—,—,—,Di Stéfano,27
1954–55,La Liga,30,20,6,4,80,31,46,1st*,SF,—,—,Latin Cup,W*,Di Stéfano,25
1955–56,La Liga,30,18,2,10,81,39,38,3rd,SF,European Cup,W*,—,—,Di Stéfano,24
1956–57,La Liga,30,20,4,6,74,35,44,1st*,QF,European Cup,W*,Latin Cup,W*,Di Stéfano,31
1957–58,La Liga,30,20,5,5,71,26,45,1st*,RU,European Cup,W*,—,—,Di Stéfano,19
1958–59,La Liga,30,21,5,4,89,29,47,2nd,SF,European Cup,W*,—,—,Di Stéfano,23
1959–60,La Liga,30,21,4,5,92,36,46,2nd,RU,European Cup,W*,—,—,Puskás,25
1960–61,La Liga,30,24,4,2,89,25,52,1st*,RU,European Cup,R16,Intercontinental Cup,W*,Puskás,28
1961–62,La Liga,30,19,5,6,58,24,43,1st*,W*,European Cup,RU,—,—,Puskás,20
1962–63,La Liga,30,23,3,4,83,33,49,1st*,SF,European Cup,R16,—,—,Puskás,26
1963–64,La Liga,30,22,2,6,61,23,46,1st*,QF,European Cup,RU,—,—,Puskás,21
1964–65,La Liga,30,21,5,4,64,18,47,1st*,R16,European Cup,QF,—,—,Grosso,17
1965–66,La Liga,30,19,5,6,53,30,43,2nd,QF,European Cup,W*,—,—,Grosso,11
1966–67,La Liga,30,19,9,2,58,22,47,1st*,QF,European Cup,QF,Intercontinental Cup,RU,Gento,11
1967–68,La Liga,30,16,10,4,55,26,42,1st*,RU,European Cup,SF,—,—,"Amancio, Pirri, Velázquez",10
1968–69,La Liga,30,18,11,1,46,21,47,1st*,R16,European Cup,R16,—,—,Amancio,14
1969–70,La Liga,30,13,9,8,50,42,35,5th,W*,European Cup,R16,—,—,Amancio,16
1970–71,La Liga,30,17,7,6,46,24,41,4th,R32,Cup Winners' Cup,RU,—,—,Pirri,13
1971–72,La Liga,34,19,9,6,51,27,47,1st*,SF,UEFA Cup,R32,—,—,Pirri,11
1972–73,La Liga,34,17,9,8,45,29,43,4th,R16,European Cup,SF,—,—,Santillana,10
1973–74,La Liga,34,13,8,13,48,38,34,8th,W*,UEFA Cup,R64,—,—,Más,11
1974–75,La Liga,34,20,10,4,66,34,50,1st*,W*,Cup Winners' Cup,QF,—,—,Santillana,17
1975–76,La Liga,34,20,8,6,54,26,48,1st*,R16,European Cup,SF,—,—,Pirri,13
1976–77,La Liga,34,12,10,12,57,53,34,9th,R32,European Cup,R16,—,—,Santillana,12
1977–78,La Liga,34,22,3,9,77,40,47,1st*,R16,—,—,—,—,Santillana,24
1978–79,La Liga,34,16,15,3,61,36,47,1st*,RU,European Cup,R16,—,—,Santillana,18
1979–80,La Liga,34,22,9,3,70,33,53,1st*,W*,European Cup,SF,—,—,Santillana,23
1980–81,La Liga,34,20,5,9,66,37,45,2nd,QF,European Cup,RU,—,—,Juanito,19
1981–82,La Liga,34,18,8,8,57,34,44,3rd,W*,UEFA Cup,QF,—,—,"Juanito, Santillana, Stielike",9
1982–83,La Liga,34,20,9,5,57,25,49,2nd,RU,Cup Winners' Cup,RU,Supercopa de EspañaLeague Cup,RURU,Pineda,11
1983–84,La Liga,34,22,5,7,59,37,49,2nd,SF,UEFA Cup,R64,—,—,Juanito,17
1984–85,La Liga,34,13,10,11,46,36,36,5th,R16,UEFA Cup,W*,League Cup,W*,Valdano,17
1985–86,La Liga,34,26,4,4,83,33,56,1st*,SF,UEFA Cup,W*,—,—,Sanchez,22
1986–87,La Liga,30,20,12,5,84,37,66,1st*,SF,European Cup,SF,—,—,Sanchez,34
1987–88,La Liga,38,28,6,4,95,26,62,1st*,SF,European Cup,SF,—,—,Sanchez,29
1988–89,La Liga,38,25,12,1,91,37,62,1st*,W*,European Cup,SF,Supercopa de España[n 22],W*',Sanchez,27
1989–90,La Liga,38,26,10,2,107,38,62,1st*,RU,European Cup,R16,Supercopa de España,W*,Sanchez,38[n 23]
1990–91,La Liga,38,20,6,12,63,37,46,3rd,R16,European Cup,QF,Supercopa de España,W*,Butragueño,19
1991–92,La Liga,38,23,8,7,78,32,54,2nd,RU,UEFA Cup,SF,—,—,Hierro,21
1992–93,La Liga,38,24,9,5,75,28,57,2nd,W*,UEFA Cup,QF,—,—,Zamorano,26
1993–94,La Liga,38,19,7,12,61,50,45,4th,QF,Cup Winners' Cup,QF,Copa IberoamericanaSupercopa de España,W*W*,Zamorano,26
1994–95,La Liga,38,23,9,6,76,29,55,1st*,R16,UEFA Cup,R16,—,—,Zamorano,28
1995–96,La Liga,42,20,10,12,75,51,70,6th,R16,Champions League,QF,Supercopa de España,RU,Raúl,19
1996–97,La Liga,42,27,11,4,85,36,92,1st*,R16,—,—,—,—,Suker,24
1997–98,La Liga,38,17,12,9,63,45,63,4th,R16,Champions League,W*,Supercopa de España,W*,Morientes,12
1998–99,La Liga,38,21,5,12,77,62,68,2nd,SF,Champions League,QF,UEFA Super CupIntercontinental Cup,RUW*,Raúl,25
1999–2000,La Liga,38,16,14,8,58,48,62,5th,SF,Champions League,W*,FIFA Club World Championship,SF,Raúl,17
2000–01,La Liga,38,24,8,6,81,40,80,1st*,R64,Champions League,SF,UEFA Super CupIntercontinental Cup,RURU,Raúl,24
2001–02,La Liga,38,19,9,10,69,44,66,3rd,RU,Champions League,W*,Supercopa de España,W*,Morientes,18
2002–03,La Liga,38,22,12,4,86,42,78,1st*,QF,Champions League,SF,UEFA Super CupIntercontinental Cup,W*W*,Ronaldo,23
2003–04,La Liga,38,21,7,10,72,54,70,4th,RU,Champions League,QF,Supercopa de España,W*,Ronaldo,24
2004–05,La Liga,38,25,5,8,71,32,80,2nd,R16,Champions League,R16,—,—,Ronaldo,21
2005–06,La Liga,38,20,10,8,70,40,70,2nd,SF,Champions League,R16,—,—,Ronaldo,14
2006–07,La Liga,38,23,7,8,66,40,76,1st*,R16,Champions League,R16,—,—,Van Nistelrooy,25
2007–08,La Liga,38,27,4,7,84,36,85,1st*,R16,Champions League,R16,Supercopa de España,RU,Raúl,18
2008–09,La Liga,38,25,3,10,83,52,78,2nd,R32,Champions League,R16,Supercopa de España,W*,Higuaín,22
2009–10,La Liga,38,31,3,4,102,35,96,2nd,R32,Champions League,R16,—,—,Higuaín,27
2010–11,La Liga,38,29,5,4,102,33,92,2nd,W*,Champions League,SF,—,—,Cristiano Ronaldo,40[n 24]
2011–12,La Liga,38,32,4,2,121,32,100,1st*,QF,Champions League,SF,Supercopa de España,RU,Cristiano Ronaldo,46
2012–13,La Liga,38,26,7,5,103,42,85,2nd,RU,Champions League,SF,Supercopa de España,W*,Cristiano Ronaldo,34
2013–14,La Liga,38,27,6,5,104,38,87,3rd,W*,Champions League,W*,—,—,Cristiano Ronaldo,31[n 25]
2014–15,La Liga,38,30,2,6,118,38,92,2nd,R16,Champions League,SF,UEFA Super CupSupercopa de EspañaFIFA Club World Championship,W*RUW*,Cristiano Ronaldo,48[n 26]
2015–16,La Liga,38,28,6,4,110,34,90,2nd,R32,Champions League,W*,—,—,Cristiano Ronaldo,35
2016–17,La Liga,38,29,6,3,106,41,93,1st*,QF,Champions League,W*,UEFA Super CupFIFA Club World Championship,'W*W*,Cristiano Ronaldo,25
2017–18,La Liga,38,22,10,6,94,44,76,3rd,QF,Champions League,W*,UEFA Super CupSupercopa de EspañaFIFA Club World Championship,'W*W*W*,Cristiano Ronaldo,26
2018–19,La Liga,38,21,5,12,63,46,68,3rd,SF,Champions League,R16,UEFA Super CupFIFA Club World Championship,RUW*,Karim Benzema,21
